REGION,COUNT_NUMBER,COUNTRY_NAME,USERID,,
AP,616,Australia,PACTADMN/Australia/Contr/IBM,,
AP,796,New Zeland,PACTADMN/Australia/Contr/IBM,,
AP,749,Indonesia,PACTADMN/Australia/Contr/IBM,,
AP,778,Malasya,PACTADMN/Australia/Contr/IBM,,
AP,818,Philipines,PACTADMN/Australia/Contr/IBM,,
AP,834,Singapore,PACTADMN/Australia/Contr/IBM,,
AP,856,Thailand,PACTADMN/Australia/Contr/IBM,,
AP,855,Vietnam,PACTADMN/Australia/Contr/IBM,,
AP,641,China,PACTADMN/Australia/Contr/IBM,,
AP,672,Hong Kong,PACTADMN/Australia/Contr/IBM,,
AP,858,Taiwan,PACTADMN/Australia/Contr/IBM,,
AP,709,India,Bms India Pact Support/India/Contr/IBM,,
AP,652,Sri Lanka,PACTADMN/Australia/Contr/IBM,,
AP,615,Bangladesh,PACTADMN/Australia/Contr/IBM,,
AP,766,Korea,PACTADMN/Australia/Contr/IBM,,
